FAMILY,AUTHOR,GENUS,AUTHOR,SCIENTIFIC NAME,YEAR,SYNONYMS,LOCAL NAMES,ENGLISH NAME,FLOWER,,SEED,,HABITAT,ORIGIN,STATUS IN BENGAL,USES,DISTRIBUTION IN BENGAL,BIBLIOGRAPHY
Fabaceae,Lindl.,Acacia,Martius,Acacia concinna (Willd.) DC.,1825,Acacia hooperiana Miq.; Acacia philippinarium Benth.; Acacia poilanei Gagnep.; Acacia polycephala DC.; Acacia quisumbingii Merr.; Acacia rugata (Lam.) Merr.; Guilandina microphylla DC.; Mimosa concinna Willd.; Mimosa rugata Lam.; Nygae sylvarum-minimae Rumph.,"?????? (???, ????; Tabassum, 2015), ???? ????? (???, ????), ????? (???, ????), ???? (?) (Tabassum, 2015), ???? ????? (?) (Tabassum, 2015)",Soap Pod,3,11,4,12,Natural Forest,Native,Cultivated,Medicine; Soap,"Bangladesh (Gazi, Sunm); West Bengal (Darj, Jalp, Howr, Hoog, N24P, S24P)",??? (????). ?? ???; Tabassum (2015). p 177
Fabaceae,Lindl.,Acacia,Martius,Acacia farnesiana (L.) Willd.,1806,Acacia acicularis Willd.; Acacia indica (Poir.) Desv.; Farnesia odora Gasp.; Farnesiana odora Gasp.; Mimosa acicularis Poir.; Mimosa indica Poir.; Mimosa farnesiana L.; Pithecellobium acuminatum M.E.Jones; Popanax farnesiana (L.) Raf.; Poponax farnesiana (L.) Raf.; Vachellia farnesiana (L.) Wight & Arn.,"???? ????? (???, ????; Motaleb et al., 2013; ?????, ?????), ???? (?????, ?????), ?????? ????? (Motaleb et al., 2013), ?????? ????? (???, ????), ??????? (???, ????), ?????? (???), ??????? (????), ???????? (???), ??????? (??????), ????????????? (????)",,9,2,10,3,Hill,Central America,Cultivated,Fence; Fuelwood,"Bangladesh (Band, Chit, Dhak); West Bengal (Kolk, Howr, Hoog, Darj)",??? (????). ?? ???; Motaleb et al. (2013). p. 14; ????? (?????). ?? ??
Fabaceae,Lindl.,Acacia,Martius,Acacia gageana Craib,1915,No synonyms found,"?? ???? ????? (???, ????), ?? ???? ????? (???, ????)",,10,1,11,2,,Native,Wild,Unknown,"West Bengal (Darj, Jalp)",??? (????). ?? ???
Fabaceae,Lindl.,Acacia,Martius,Acacia lenticularis Benth.,1842,No synonyms found,"????? ????? (???, ????), ????? (???, ????), ??? (???, ????)",,5,8,7,12,,Native,Wild,Unknown,"West Bengal (Darj, Jalp)",??? (????). ?? ???
Fabaceae,Lindl.,Acacia,Martius,Acacia leucophloea (Roxb.) Willd.,1806,Acacia alba (Rottler) Willd.; Acacia arcuata Decne.; Acacia melanochaetes Zoll.; Delaportea ferox Gagnep.; Delaportea microphylla Gagnep.; Mimosa alba Rottler; Mimosa leucophloea Roxb.,"???? ????? (????????), ???? ????? (???, ????)",,5,1,7,3,,Native,Wild,Unknown,"West Bengal (Emed, Wmed)",??? (????). ?? ???
Fabaceae,Lindl.,Acacia,Martius,Acacia mangium Willd.,1806,Acacia holosericea A.Cunn.; Mangium montanum Rumph.; Racosperma mangium (Willd.) Pedley,"?????????? (Rahman, 2013a; Tabassum, 2015), ????? (????????), ???? ??????? (????????)","Black Wattle, Hickory Wattle, Mangium",5,12,6,1,"Homestead, Natural Forest",Australia,Cultivated,Timber,"Bangladesh (Gazi, Nars, Rajs)",Rahman (2013a). p 106; Tabassum (2015). p 178
Fabaceae,Lindl.,Acacia,Martius,Acacia nilotica (L.) Delile,1813,Acacia arabica (Lam.) Willd.; Acacia scorpioides W.Wight; Acacia vera Willd.; Mimosa arabica Lam.; Mimosa nilotica L.; Mimosa nilotica Thunb.; Mimosa scorpioides L.; Vachellia nilotica (L.) P.J.H.Hurter & Mabb.,"????? (Mollah et al., 2005; Rahman 2013a; ?????, ?????), ?????? (???????) (?????, ?????)",,5,2,7,4,Natural Forest,Unknown,Wild,Unknown,"Bangladesh (Gazi, Jess, Mani, Rajs)",Mollah et al. (2005). p 27; Rahman (2013a). p 106; ????? (?????). ?? ???; ????? (?????). ?? ??; Tabassum (2015). p 178
Fabaceae,Lindl.,Acacia,Martius,Acacia nilotica subsp. indica (Benth.) Brenan,1957,Acacia arabica var. indica Benth.; Acacia nilotica var. indica (Benth.) A.F.Hill,"????? (???, ????; Tabassum, 2015), ????? (???, ????)","Indian Gum, Arabic Gum, Prickly Acacia",6,4,7,5,Homestead,Native,Wild,Dye; Timber,West Bengal (All Zones),??? (????). ?? ???
Fabaceae,Lindl.,Acacia,Martius,Acacia pennata (L.) Willd.,1806,Acacia canescens (Kurz) Gamble; Acacia hainanensis Hayata; Acacia pendata (L.) Willd.; Albizia tenerrima de Vriese; Mimosa ferruginea Rottler; Mimosa pennata L.,"??????? (???, ????), ?????? (???, ????), ???? ????? (???, ????), ???? ????? (???, ????), ???? ??????? (???, ????)",,6,10,8,2,,Native,Cultivated,Fuelwood,"Bangladesh (Chit); West Bengal (West Zone, Darj, Jalp)",??? (????). ?? ???
Fabaceae,Lindl.,Acacia,Martius,Acacia polyacantha Willd.,1806,Acacia catechu sensu Griseb.; Acacia suma (Roxb.) Voigt; Gagnebina tamariscina sensu Bojer; Mimosa suma Roxb.; Senegalia polyacantha (Willd.) Seigler & Ebinger; Senegalia suma (Roxb.) Britton & Rose,"??? (???????) (?????, ?????), ????????? (???, ????)",,8,11,9,12,,Native,Wild,Unknown,"Bangladesh (Dhak); West Bengal (Hoog, Emed, Wmed, Puru, Bank)",??? (????). ?? ???; ????? (?????). ?? ??
