Kingdom,Phylum,Class,Order,Family,Author,Genus,Author,Scientific Name,Author,Year,Status,Accepted as,Bengali Name,English Name,Size (cm),Common Family,Common Group,Habit,Conservation Status,Distribution in Bengal,References
Animalia,Chordata,Aves,Anseriformes,Anatidae,Leach,Anas,Linnaeus,Anas javanica,Horsfield,1821,Synonym for,Dendrocygna javanica,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Anseriformes,Anatidae,Leach,Anas,Linnaeus,Anas javanica beta,Horsfield,1821,Synonym for,Dendrocygna javanica,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Anseriformes,Anatidae,Leach,Anas,Linnaeus,Anas nyroca,Guldenstadt,1770,Synonym for,Aythya nyroca,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Anseriformes,Anatidae,Leach,Anas,Linnaeus,Anas oustaleti,Salvadori,1894,Synonym for,Anas platyrhynchos,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Anseriformes,Anatidae,Leach,Anas,Linnaeus,Anas penelope,Linnaeus,1758,Synonym for,Mareca penelope,,,,,,,,,GBIF (2018); Halder (2010). p 33
Animalia,Chordata,Aves,Anseriformes,Anatidae,Leach,Anas,Linnaeus,Anas platyrhynchos,Linnaeus,1758,Accepted as,Anas platyrhynchos,"?????? (Halder, 2010)",Mallard,61,Ducks,Dabbling Duck,Migratory,LC,"Bangladesh (Coast, Inland)",BLI (2018); GBIF (2018); Halder (2010). p 33; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Anseriformes,Anatidae,Leach,Anas,Linnaeus,Anas poecilorhynca,Forster,1781,Synonym for,Anas poecilorhyncha,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Anseriformes,Anatidae,Leach,Anas,Linnaeus,Anas poecilorhyncha,Forster,1781,Accepted as,Anas poecilorhyncha,"???????? (Halder, 2010)","Indian Spot-billed Duck, Spot-billed Duck",61,Ducks,Dabbling Duck,Resident,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 34; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Anseriformes,Anatidae,Leach,Anas,Linnaeus,Anas querquedula,Linnaeus,1758,Synonym for,Spatula querquedula,,,,,,,,,GBIF (2018); Halder (2010). p 32
Animalia,Chordata,Aves,Anseriformes,Anatidae,Leach,Anas,Linnaeus,Anas rufina,Pallas,1773,Synonym for,Netta rufina,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Anseriformes,Anatidae,Leach,Anas,Linnaeus,Anas strepera,Linnaeus,1758,Synonym for,Mareca strepera,,,,,,,,,GBIF (2018); Halder (2010). p 32
Animalia,Chordata,Aves,Anseriformes,Anatidae,Leach,Anas,Linnaeus,Anas tadorna,Linnaeus,1758,Synonym for,Tadorna tadorna,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,GR Gray,Anastomus,Bonnaterre,Anastomus oscitans,Boddaert,1783,Accepted as,Anastomus oscitans,"???????? (Halder, 2010)",Asian Openbill,76,Storks,Openbill Stork,Resident,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 23; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Suliformes,Anhingidae,Reichenbach,Anhinga,Brisson,Anhinga melanogaster,Pennant,1769,Accepted as,Anhinga melanogaster,"??????? (Halder, 2010)","Oriental Darter, Darter",90,Anhingas,Snakebird,Resident,NT,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 10; IUCN (2018); Wikipedia (2018)
