Kingdom,Phylum,Class,Order,Family,Author,Genus,Author,Scientific Name,Author,Year,Status,Accepted as,Bengali Name,English Name,Size (cm),Common Family,Common Group,Habit,Conservation Status,Distribution in Bengal,References
Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Leach,Cuculus,Linnaeus,Cuculus canorus kleinschmidti,Schiebel,1910,Synonym for,Cuculus canorus,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Leach,Cuculus,Linnaeus,Cuculus coromandus,Linnaeus,1766,Synonym for,Clamator coromandus,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Leach,Cuculus,Linnaeus,Cuculus honoratus,Linnaeus,1766,Synonym for,Eudynamys scolopaceus,,,,,,,,,Wikipedia (2018)
Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Leach,Cuculus,Linnaeus,Cuculus lugubris,Horsfield,1821,Synonym for,Surniculus lugubris,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Leach,Cuculus,Linnaeus,Cuculus micropterus,Gould,1838,Accepted as,Cuculus micropterus,"?? ??? ?? (Halder, 2010)",Indian Cuckoo,33,Anis,Common Cuckoo,Resident,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 110; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Leach,Cuculus,Linnaeus,Cuculus saturatus,Blyth,1843,Accepted as,Cuculus saturatus,"??????? ?????? (Halder, 2010)","Himalayan Cuckoo, Oriental Cuckoo",31,Anis,Common Cuckoo,Migratory,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 111; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Leach,Cuculus,Linnaeus,Cuculus saturatus saturatus,Blyth,1843,Synonym for,Cuculus saturatus,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Leach,Cuculus,Linnaeus,Cuculus scolopaceus,Linnaeus,1758,Synonym for,Eudynamys scolopaceus,,,,,,,,,Wikipedia (2018)
Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Leach,Cuculus,Linnaeus,Cuculus sonneratii,Latham,1790,Synonym for,Cacomantis sonneratii,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Leach,Cuculus,Linnaeus,Cuculus sparverioides,Vigors,1832,Synonym for,Hierococcyx sparverioides,,,,,,,,,GBIF (2018); Halder (2010). p 112; Wikipedia (2018)
Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Leach,Cuculus,Linnaeus,Cuculus varius,Vahl,1797,Synonym for,Hierococcyx varius,,,,,,,,,GBIF (2018); Halder (2010). p 110; Wikipedia (2018)
Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Leach,Cuculus,Linnaeus,Cuculus xanthorhynchus,Horsfield,1821,Synonym for,Chrysococcyx xanthorhynchus,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Apodiformes,Apodidae,Hartert,Cypselus,Illiger,Cypselus affinis,J.E.Gray,1830,Synonym for,Apus affinis,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Apodiformes,Apodidae,Hartert,Cypsiurus,Lesson,Cypsiurus balasiensis,J.E.Gray,1829,Accepted as,Cypsiurus balasiensis,"???? ????????? (Halder, 2010)",Asian Palm Swift,13,Swift,Palm Swift,Resident,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 124; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Anseriformes,Anatidae,Leach,Dafila,Stephens,Dafila acuta,Linnaeus,1758,Synonym for,Anas acuta,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Rafinesque,Delichon,Horsfield & Moore,Delichon nipalense,Moore,1854,Accepted as,Delichon nipalense,"?????? ???????? (Halder, 2010)",Nepal House Martin,13,Swallow,House-Martin,Resident,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 128; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Rafinesque,Delichon,Horsfield & Moore,Delichon nipalensis,Moore,1854,Synonym for,Delichon nipalense,,,,,,,,,GBIF (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Anseriformes,Anatidae,Leach,Dendrocygna,Swainson,Dendrocygna bicolor,Vieillot,1816,Accepted as,Dendrocygna bicolor,"?? ????? (Halder, 2010)","Fulvous Whistling Duck, Fulvous Tree Duck",51,Ducks,Whistling Duck,Migratory,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 29; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Anseriformes,Anatidae,Leach,Dendrocygna,Swainson,Dendrocygna bicolor helva,Whetmore & Peters,1922,Synonym for,Dendrocygna bicolor,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Anseriformes,Anatidae,Leach,Dendrocygna,Swainson,Dendrocygna javanica,Horsfield,1821,Accepted as,Dendrocygna javanica,"??? ????? (Halder, 2010)","Lesser Whistling Duck, Indian Whistling Duck, Lesser Whistling Teal",42,Ducks,Whistling Duck,Resident,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 29; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Columbiformes,Columbidae,Leach,Ducula,Hodgson,Ducula aenea,Linnaeus,1766,Accepted as,Ducula aenea,"???? ????? (Halder, 2010)","Green Imperial Pigeon, Green Imperial-pigeon",43,Doves,Imperial Pigeon,Resident,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 99; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Columbiformes,Columbidae,Leach,Ducula,Hodgson,Ducula badia,Raffles,1822,Accepted as,Ducula badia,"?????? ????? (Halder, 2010)",Mountain Imperial Pigeon,51,Doves,Imperial Pigeon,Resident,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 99; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Leach,Dupetor,Heine & Reichenow,Dupetor flavicollis,Latham,1790,Synonym for,Ixobrychus flavicollis,,,,,,,,,GBIF (2018); Halder (2010). p 19
Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Leach,Egretta,Forster,Egretta garzetta,Linnaeus,1766,Accepted as,Egretta garzetta,"??? ?? (Halder, 2010)",Little Egret,63,Bitterns,Medium Egret,Resident,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 14; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Leach,Egretta,Forster,Egretta intermedia,Wagler,1829,Synonym for,Ardea intermedia,,,,,,,,,GBIF (2018); Halder (2010). p ###
Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Leach,Egretta,Forster,Egretta sacra,Gmelin,1789,Accepted as,Egretta sacra,"???????? ?????? (Halder, 2010)","Pacific Reef Heron, Pacific Reef Egret, Eastern Reef Heron, Eastern Reef Egret",58,Bitterns,Medium Egret,Migratory,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 16; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Vieillot,Elanus,Savigny,Elanus caeruleus,Desfontaines,1789,Accepted as,Elanus caeruleus,"??????? (Halder, 2010)","Black-shouldered Kite, Black-winged Kite",33,Eagles,Black-winged Kite,Resident,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 76; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,GR Gray,Ephippiorhynchus,Bonaparte,Ephippiorhynchus asiaticus,Latham,1790,Accepted as,Ephippiorhynchus asiaticus,"????????? (Halder, 2010)",Black-necked Stork,135,Storks,,Vagrant,NT,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 22; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Rafinesque,Erolia,Vieillot,Erolia alba,Pallas,1764,Synonym for,Calidris alba,,,,,,,,,Wikipedia (2018)
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Rafinesque,Erolia,Vieillot,Erolia alpina,Linnaeus,1758,Synonym for,Calidris alpina,,,,,,,,,GBIF (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Rafinesque,Erolia,Vieillot,Erolia ferruginea,Pontoppidan,1763,Synonym for,Calidris ferruginea,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Rafinesque,Erolia,Vieillot,Erolia minuta,Leisler,1812,Synonym for,Calidris minuta,,,,,,,,,GBIF (2018); Halder (2010). p ###; Wikipedia (2018)
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Rafinesque,Erolia,Vieillot,Erolia subminuta,Middendorff,1853,Synonym for,Calidris subminuta,,,,,,,,,Wikipedia (2018)
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Rafinesque,Erolia,Vieillot,Erolia temminckii ,Leisler,1812,Synonym for,Calidris temminckii,,,,,,,,,GBIF (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Charadriiformes,Burhinidae,Mathews,Esacus,Lesson,Esacus recurvirostris,Cuvier,1829,Accepted as,Esacus recurvirostris,"?? ????????? (Halder, 2010)","Great Thick-knee, Great Stone-Curlew",51,Stone Curlews,Stone Curlew,Resident,NT,Bangladesh (Coastal Zone),BLI (2018); Chowdhury (2011). p 41; GBIF (2018); Halder (2010). p 44; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Leach,Eudynamys,Vigors & Horsfield,Eudynamys scolopaceus,Linnaeus,1758,Accepted as,Eudynamys scolopaceus,"????? (Halder, 2010)","Asian Koel, Western Koel",43,Anis,Koel,Resident,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 115; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Anseriformes,Anatidae,Leach,Eulabeia,Reichenbach,Eulabeia indica,Latham,1790,Synonym for,Anser indicus,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Vigors,Eurostopodus,Gould,Eurostopodus macrotis,Vigors,1831,Synonym for,Lyncornis macrotis,,,,,,,,,GBIF (2018); Halder (2010). p 117; Wikipedia (2018)
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Rafinesque,Eurynorhynchus,Nilsson,Eurynorhynchus pygmeus,Linnaeus,1758,Synonym for,Calidris pygmea,,,,,,,,,Chowdhury (2011). p 32; GBIF (2018); Halder (2010). p 58
Animalia,Chordata,Aves,Coraciiformes,Coraciidae,,Eurystomus,Vieillot,Eurystomus orientalis,Linnaeus,1776,Accepted as,Eurystomus orientalis,"?????? ??????? (Halder, 2010)","Oriental Dollarbird, Dollarbird, Eastern Broad-billed Roller",31,Rafinesque,Roller,Resident,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 129; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Falconiformes,Falconidae,Leach,Falco,Linnaeus,Falco aeruginosus,Linnaeus,1758,Synonym for,Circus aeruginosus,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Falconiformes,Falconidae,Leach,Falco,Linnaeus,Falco amurensis,Radde,1863,Accepted as,Falco amurensis,"???? ??? (Halder, 2010)","Amur Falcon, Eastern Red-footed Falcon",30,Caracaras,Falcon,Migratory,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 88; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Falconiformes,Falconidae,Leach,Falco,Linnaeus,Falco atriceps,Hume,1869,Synonym for,Falco peregrinus,,,,,,,,,GBIF (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Falconiformes,Falconidae,Leach,Falco,Linnaeus,Falco badius,Gmelin,1788,Synonym for,Accipiter badius,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Falconiformes,Falconidae,Leach,Falco,Linnaeus,Falco buteo,Linnaeus,1758,Synonym for,Buteo buteo,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Falconiformes,Falconidae,Leach,Falco,Linnaeus,Falco caeruleus,Desfontaines,1789,Synonym for,Elanus caeruleus,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Falconiformes,Falconidae,Leach,Falco,Linnaeus,Falco chicquera,Daudin,1800,Accepted as,Falco chicquera,"?????? ??? (Halder, 2010)","Red-headed Falcon, Red-necked Falcon",34,Caracaras,Falcon,Resident,NT,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 89; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Falconiformes,Falconidae,Leach,Falco,Linnaeus,Falco cyaneus,Linnaeus,1766,Synonym for,Circus cyaneus,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Falconiformes,Falconidae,Leach,Falco,Linnaeus,Falco haliaetus,Linnaeus,1758,Synonym for,Pandion haliaetus,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Falconiformes,Falconidae,Leach,Falco,Linnaeus,Falco kreyenborgi,Kleinschmidt,1929,Synonym for,Falco peregrinus,,,,,,,,,GBIF (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Falconiformes,Falconidae,Leach,Falco,Linnaeus,Falco migrans,Boddaert,1783,Synonym for,Milvus migrans,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Falconiformes,Falconidae,Leach,Falco,Linnaeus,Falco naumanni,Fleischer,1818,Accepted as,Falco naumanni,"??? ????????? (Halder, 2010)",Lesser Kestrel,34,Caracaras,Falcon,Migratory,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 90; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Falconiformes,Falconidae,Leach,Falco,Linnaeus,Falco pelegrinoides,Temminck,1829,Synonym for,Falco peregrinus,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Falconiformes,Falconidae,Leach,Falco,Linnaeus,Falco pelegrinoides madens,Ripley & Watson,1963,Synonym for,Falco peregrinus,,,,,,,,,Wikipedia (2018)
Animalia,Chordata,Aves,Falconiformes,Falconidae,Leach,Falco,Linnaeus,Falco pennatus,Gmelin,1788,Synonym for,Hieraaetus pennatus,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Falconiformes,Falconidae,Leach,Falco,Linnaeus,Falco peregrinus,Tunstall,1771,Accepted as,Falco peregrinus,"????? ??? (Halder, 2010)","Peregrine Falcon,  Peregrine, Duck Hawk",43,Caracaras,Falcon,Migratory,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 88; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Falconiformes,Falconidae,Leach,Falco,Linnaeus,Falco rufinus,Cretzschmar,1827,Synonym for,Buteo rufinus,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Falconiformes,Falconidae,Leach,Falco,Linnaeus,Falco subbuteo,Linnaeus,1758,Accepted as,Falco subbuteo,"??????? ????????? (Halder, 2010)","Eurasian Hobby, European Hobby, Hobby",33,Caracaras,Falcon,Migratory,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 89; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Falconiformes,Falconidae,Leach,Falco,Linnaeus,Falco tinnunculus,Linnaeus,1758,Accepted as,Falco tinnunculus,"????????? (Halder, 2010)","Common Kestrel, Eurasian Kestrel, Kestrel",36,Caracaras,Falcon,Migratory,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 90; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Galliformes,Phasianidae,Horsfield,Francolinus,Stephens,Francolinus francolinus,Linnaeus,1766,Accepted as,Francolinus francolinus,"???? ????? (Halder, 2010)",Black Francolin,34,Grouse,Francolin,Resident,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 93; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Gruiformes,Rallidae,Rafinesque,Fulica,Linnaeus,Fulica aterrima,Linnaeus,1766,Synonym for,Fulica atra,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Gruiformes,Rallidae,Rafinesque,Fulica,Linnaeus,Fulica atra,Linnaeus,1758,Accepted as,Fulica atra,"??? (Halder, 2010)","Coot, Common Coot, Eurasian Coot",42,Coots,,Migratory,LC,Bangladesh (Haor),BLI (2018); GBIF (2018); Halder (2010). p 43; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Gruiformes,Rallidae,Rafinesque,Fulica,Linnaeus,Fulica chloropus,Linnaeus,1758,Synonym for,Gallinula chloropus,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Gruiformes,Rallidae,Rafinesque,Fulica,Linnaeus,Fulica porphyrio,Linnaeus,1758,Synonym for,Porphyrio porphyrio,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Gruiformes,Rallidae,Rafinesque,Fulica,Linnaeus,Fulica prior,De Vis,1880,Synonym for,Fulica atra,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Gruiformes,Rallidae,Rafinesque,Gallicrex,Blyth,Gallicrex cinerea,Gmelin,1789,Accepted as,Gallicrex cinerea,"???? (Halder, 2010)",Watercock,43,Coots,,Resident,LC,"Bangladesh (Coast, Inland)",BLI (2018); GBIF (2018); Halder (2010). p 41; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Rafinesque,Gallinago,Brisson,Gallinago gallinago,Linnaeus,1758,Accepted as,Gallinago gallinago,"????????? (Halder, 2010)",Common Snipe,25-27,Sandpipers,,Migratory,LC,Bangladesh,BLI (2018); Chowdhury (2011). p 6; GBIF (2018); Halder (2010). p 65; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Rafinesque,Gallinago,Brisson,Gallinago megala,Swinhoe,1861,Accepted as,Gallinago megala,"????????? ?????? (Halder, 2010)","Swinhoe's Snipe, Forest Snipe, Chinese Snipe",28,Sandpipers,,Migratory,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 66; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Rafinesque,Gallinago,Brisson,Gallinago stenura,Bonaparte,1831,Accepted as,Gallinago stenura,"???????? ?????? (Halder, 2010)","Pintail Snipe, Pin-tailed Snipe",25-27,Sandpipers,,Migratory,LC,Bangladesh,BLI (2018); Chowdhury (2011). p 5; GBIF (2018); Halder (2010). p 65; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Gruiformes,Rallidae,Rafinesque,Gallinula,Brisson,Gallinula chloropus,Linnaeus,1758,Accepted as,Gallinula chloropus,"?????? (Halder, 2010)","Common Moorhen, Waterhen, Swamp Chicken",32,Coots,,Resident,LC,Bangladesh (Freshwater),BLI (2018); GBIF (2018); Halder (2010). p 39; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Gruiformes,Rallidae,Rafinesque,Gallinula,Brisson,Gallinula ochropus,Linnaeus,1758,Synonym for,Gallinula chloropus,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Gruiformes,Rallidae,Rafinesque,Gallirallus,Lafresnaye,Gallirallus striatus,Linnaeus,1766,Accepted as,Gallirallus striatus,"??????? ?????? (Halder, 2010)",Slaty-breasted Rail,27,Coots,,Resident,LC,Bangladesh (Freshwater),BLI (2018); GBIF (2018); Halder (2010). p 38; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Galliformes,Phasianidae,Horsfield,Gallus,Brisson,Gallus gallus,Linnaeus,1758,Accepted as,Gallus gallus,"?????? (Halder, 2010), ??????? (Halder, 2010)",Red Junglefowl,43-66,Grouse,,Resident,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 96; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Charadriiformes,Laridae,Rafinesque,Gelochelidon,Brehm,Gelochelidon nilotica,Gmelin,1789,Accepted as,Gelochelidon nilotica,"??????-????? ?????? (Halder, 2010)","Gull-billed Tern, Common Gull-billed Tern",38,Gulls,Tern,Resident,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 72; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Charadriiformes,Laridae,Rafinesque,Gelochelidon,Brehm,Gelochelidon nilotica  cloatesi,Mathews,1924,Synonym for,Gelochelidon nilotica,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Charadriiformes,Laridae,Rafinesque,Gelochelidon,Brehm,Gelochelidon nilotica addenda,Gmelin,1789,Synonym for,Gelochelidon nilotica,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Charadriiformes,Laridae,Rafinesque,Gelochelidon,Brehm,Gelochelidon nilotica addenda,Mathews,1912,Synonym for,Gelochelidon nilotica,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Charadriiformes,Laridae,Rafinesque,Gelochelidon,Brehm,Gelochelidon nilotica affinis,Horsfield,1821,Synonym for,Gelochelidon nilotica,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Charadriiformes,Laridae,Rafinesque,Gelochelidon,Brehm,Gelochelidon nilotica aranea,A.Wilson,1814,Synonym for,Gelochelidon nilotica,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Charadriiformes,Laridae,Rafinesque,Gelochelidon,Brehm,Gelochelidon nilotica groenvoldi,Mathews,1912,Synonym for,Gelochelidon nilotica,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Charadriiformes,Laridae,Rafinesque,Gelochelidon,Brehm,Gelochelidon nilotica gronvoldi,Mathews,1912,Synonym for,Gelochelidon nilotica,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Charadriiformes,Laridae,Rafinesque,Gelochelidon,Brehm,Gelochelidon nilotica macrotarsa,Gould,1837,Synonym for,Gelochelidon nilotica,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Charadriiformes,Laridae,Rafinesque,Gelochelidon,Brehm,Gelochelidon nilotica nilotica,Gmelin,1789,Synonym for,Gelochelidon nilotica,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Charadriiformes,Laridae,Rafinesque,Gelochelidon,Brehm,Gelochelidon nilotica normani,Mathews,1915,Synonym for,Gelochelidon nilotica,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Charadriiformes,Laridae,Rafinesque,Gelochelidon,Brehm,Gelochelidon nilotica vanrossemi,Bancroft,1929,Synonym for,Gelochelidon nilotica,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Gaviiformes,Glareolidae,Brehm,Glareola,Brisson,Glareola lactea,Temminck,1820,Accepted as,Glareola lactea,"??? ????????? (Halder, 2010)","Small Pratincole, Little Pratincole, Small Indian Pratincole",16-19,Coursers,Pranticole,Resident,LC,"Bangladesh (Coast, Inland)",BLI (2018); Chowdhury (2011). p 44; GBIF (2018); Halder (2010). p 46; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Gaviiformes,Glareolidae,Brehm,Glareola,Brisson,Glareola maldivarum,Forster,1795,Accepted as,Glareola maldivarum,"?? ????????? (Halder, 2010)","Oriental Pratincole, Grasshopper Bird, Swallow Plover",23-24,Coursers,Pranticole,Migratory,LC,Bangladesh (Freshwater),BLI (2018); Chowdhury (2011). p 43; GBIF (2018); Halder (2010). p 46; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Strigiformes,Strigidae,Leach,Glaucidium,F. Boie,Glaucidium cuculoides rufescens,E.C.S.Baker,1926,Accepted as,Glaucidium cuculoides rufescens,"???? ????????? (Halder, 2010)",Asian Barred Owlet,23,Owl,Pygmy Owl,Resident,LC,Bangladesh,GBIF (2018); Halder (2010). p 120; IUCN (2018)
Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Leach,Gorsachius,Bonaparte,Gorsachius melanolophus,Raffles,1822,Accepted as,Gorsachius melanolophus,"?????? (Halder, 2010)","Malay Night Heron, Malayan Night Heron, Malaysian Night Heron, Tiger Bittern",51,Bitterns,,Resident,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 20; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Passeriformes,Sturnidae,Rafinesque,Gracula,Linnaeus,Gracula atthis,Linnaeus,1758,Synonym for,Alcedo atthis,,,,,,,,,GBIF (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Vieillot,Gyps,Savigny,Gyps bengalensis,Gmelin,1788,Accepted as,Gyps bengalensis,"???? ???? (Halder, 2010)","White-rumped Vulture, Asian White-backed Vulture, Oriental White-backed Vulture",85,Eagles,Vulture,Resident,CR,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 92; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Vieillot,Gyps,Savigny,Gyps fulvus,Hablizl,1783,Accepted as,Gyps fulvus,"??????? ?????? (Halder, 2010)","Griffon Vulture, Eurasian Griffon, Eurasian Griffon Vulture",100,Eagles,Vulture,Vagrant,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 93; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Rafinesque,Halcyon,Swainson,Halcyon amauroptera,Linnaeus,1758,Synonym for,Pelargopsis amauroptera,,,,,,,,,Halder (2010). p 135
Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Rafinesque,Halcyon,Swainson,Halcyon capensis,Linnaeus,1766,Synonym for,Pelargopsis capensis,,,,,,,,,Halder (2010). p 135; Wikipedia (2018)
Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Rafinesque,Halcyon,Swainson,Halcyon chloris,Boddaert,1783,Synonym for,Todiramphus chloris,,,,,,,,,GBIF (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Rafinesque,Halcyon,Swainson,Halcyon coromanda,Latham,1790,Accepted as,Halcyon coromanda,"????? ??????? (Halder, 2010)",Ruddy Kingfisher,26,Kingfisher,Tree Kingfisher,Resident,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 134; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Rafinesque,Halcyon,Swainson,Halcyon pileata,Boddaert,1783,Accepted as,Halcyon pileata,"???????? ??????? (Halder, 2010)",Black-capped Kingfisher,30,Kingfisher,Tree Kingfisher,Migratory,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 134; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Rafinesque,Halcyon,Swainson,Halcyon smyrnensis,Linnaeus,1758,Accepted as,Halcyon smyrnensis,"??????? ??????? (Halder, 2010)","White-breasted Kingfisher, White-throated Kingfisher",28,Kingfisher,Tree Kingfisher,Resident,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 133; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Vieillot,Haliaeetus,Savigny,Haliaeetus ichthyaetus,Horsfield,1821,Accepted as,Haliaeetus ichthyaetus,"???????? ????-??? (Halder, 2010)",Grey-headed Fish Eagle,74,Eagles,,Resident,NT,Bangladesh,BLI (2018); GBIF (2018); IUCN (2018); Wikipedia (2018)
